temp,feels_like,pressure,humidity,pm10,lat,lon,download_timestamp
-4.98,-7.62,1022,64,4.1,49.17035070524409,19.76220706945233,20260407_000509
-2.52,-4.88,1022,63,4.25,49.17035070524409,19.80256444285392,20260407_000509
-4.2,-6.87,1022,62,4.25,49.17035070524409,19.842921816255497,20260407_000509
-0.69,-2.89,1022,61,4.25,49.17035070524409,19.88327918965708,20260407_000509
1.86,-0.05,1021,60,4.25,49.17035070524409,19.923636563058665,20260407_000509
-0.7,-3.09,1021,59,4.25,49.17035070524409,19.96399393646025,20260407_000509
-2.31,-5.04,1021,57,4.08,49.17035070524409,20.00435130986184,20260407_000509
-4.51,-8.45,1021,38,4.08,49.17035070524409,20.04470868326342,20260407_000509
-4.77,-8.76,1021,38,4.08,49.17035070524409,20.085066056665003,20260407_000509
-4.39,-8.3,1021,50,4.08,49.17035070524409,20.125423430066583,20260407_000509
-4.77,-7.12,1022,65,4.1,49.18581791334477,19.76220706945233,20260407_000509
-4.26,-6.67,1022,64,4.25,49.18581791334477,19.80256444285392,20260407_000509
-3.72,-6.12,1022,63,4.25,49.18581791334477,19.842921816255497,20260407_000509
-1.22,-3.34,1022,62,4.25,49.18581791334477,19.88327918965708,20260407_000509
-0.56,-2.76,1022,61,4.25,49.18581791334477,19.923636563058665,20260407_000509
-2.35,-4.94,1021,59,4.25,49.18581791334477,19.96399393646025,20260407_000509
0.23,-2.06,1021,58,4.08,49.18581791334477,20.00435130986184,20260407_000509
-2.81,-6.43,1021,38,4.08,49.18581791334477,20.04470868326342,20260407_000509
-3.11,-6.79,1021,50,4.08,49.18581791334477,20.085066056665003,20260407_000509
-1.54,-4.92,1021,50,4.08,49.18581791334477,20.125423430066583,20260407_000509
-3.69,-5.68,1022,66,4.12,49.20128512144546,19.76220706945233,20260407_000509
-1.41,-3.23,1022,65,4.21,49.20128512144546,19.80256444285392,20260407_000509
-3.46,-5.66,1022,64,4.21,49.20128512144546,19.842921816255497,20260407_000509
-2.21,-4.34,1022,63,4.21,49.20128512144546,19.88327918965708,20260407_000509
2.14,0.42,1022,61,4.21,49.20128512144546,19.923636563058665,20260407_000509
-1.84,-4.29,1021,60,4.21,49.20128512144546,19.96399393646025,20260407_000509
-2.63,-5.37,1021,59,4.09,49.20128512144546,20.00435130986184,20260407_000509
-4.2,-7.36,1021,58,4.09,49.20128512144546,20.04470868326342,20260407_000509
-2.73,-6.33,1021,50,4.09,49.20128512144546,20.085066056665003,20260407_000509
-1.61,-5.0,1021,50,4.09,49.20128512144546,20.125423430066583,20260407_000509
-3.69,-5.68,1022,66,4.12,49.21675232954614,19.76220706945233,20260407_000509
-1.41,-3.23,1022,65,4.21,49.21675232954614,19.80256444285392,20260407_000509
-3.46,-5.66,1022,64,4.21,49.21675232954614,19.842921816255497,20260407_000509
-1.86,-3.94,1022,63,4.21,49.21675232954614,19.88327918965708,20260407_000509
-0.75,-2.9,1022,61,4.21,49.21675232954614,19.923636563058665,20260407_000509
-0.52,-2.77,1021,60,4.21,49.21675232954614,19.96399393646025,20260407_000509
-2.93,-5.71,1021,59,4.09,49.21675232954614,20.00435130986184,20260407_000509
-2.89,-5.84,1024,67,4.09,49.21675232954614,20.04470868326342,20260407_000509
0.52,-2.48,1021,50,4.09,49.21675232954614,20.085066056665003,20260407_000509
-3.15,-6.83,1021,50,4.09,49.21675232954614,20.125423430066583,20260407_000509
-2.31,-2.31,1022,67,4.12,49.23221953764683,19.76220706945233,20260407_000509
-1.32,-3.0,1022,66,4.21,49.23221953764683,19.80256444285392,20260407_000509
-3.42,-5.49,1022,65,4.21,49.23221953764683,19.842921816255497,20260407_000509
0.27,-1.43,1022,63,4.21,49.23221953764683,19.88327918965708,20260407_000509
-2.42,-4.78,1022,62,4.21,49.23221953764683,19.923636563058665,20260407_000509
-1.56,-3.95,1022,61,4.21,49.23221953764683,19.96399393646025,20260407_000509
-1.7,-4.29,1021,60,4.09,49.23221953764683,20.00435130986184,20260407_000509
-4.41,-7.62,1021,59,4.09,49.23221953764683,20.04470868326342,20260407_000509
1.04,-1.65,1021,50,4.09,49.23221953764683,20.085066056665003,20260407_000509
-0.96,-4.23,1021,50,4.09,49.23221953764683,20.125423430066583,20260407_000509
-2.31,-2.31,1022,67,4.12,49.24768674574751,19.76220706945233,20260407_000509
-1.32,-3.0,1022,66,4.21,49.24768674574751,19.80256444285392,20260407_000509
-3.42,-5.49,1022,65,4.21,49.24768674574751,19.842921816255497,20260407_000509
0.27,-1.43,1022,63,4.21,49.24768674574751,19.88327918965708,20260407_000509
-3.43,-5.94,1022,62,4.21,49.24768674574751,19.923636563058665,20260407_000509
-0.22,-2.41,1022,61,4.21,49.24768674574751,19.96399393646025,20260407_000509
-1.18,-3.68,1021,60,4.09,49.24768674574751,20.00435130986184,20260407_000509
-2.19,-5.03,1021,59,4.09,49.24768674574751,20.04470868326342,20260407_000509
0.34,-2.47,1021,58,4.09,49.24768674574751,20.085066056665003,20260407_000509
1.06,-1.82,1021,50,4.09,49.24768674574751,20.125423430066583,20260407_000509
0.46,0.46,1023,68,4.12,49.2631539538482,19.76220706945233,20260407_000509
-1.45,-3.13,1022,67,4.21,49.2631539538482,19.80256444285392,20260407_000509
-0.02,-1.61,1022,65,4.21,49.2631539538482,19.842921816255497,20260407_000509
0.77,-0.85,1022,64,4.21,49.2631539538482,19.88327918965708,20260407_000509
-0.75,-2.86,1022,63,4.21,49.2631539538482,19.923636563058665,20260407_000509
0.61,-1.46,1022,62,4.21,49.2631539538482,19.96399393646025,20260407_000509
1.25,-0.88,1021,61,4.09,49.2631539538482,20.00435130986184,20260407_000509
0.42,-2.02,1021,60,4.09,49.2631539538482,20.04470868326342,20260407_000509
0.83,-1.91,1021,59,4.09,49.2631539538482,20.085066056665003,20260407_000509
1.97,-0.76,1021,58,4.09,49.2631539538482,20.125423430066583,20260407_000509
1.84,1.84,1023,68,4.12,49.27862116194888,19.76220706945233,20260407_000509
0.41,-1.08,1022,67,4.21,49.27862116194888,19.80256444285392,20260407_000509
1.03,-0.49,1022,66,4.21,49.27862116194888,19.842921816255497,20260407_000509
1.35,-0.23,1022,65,4.21,49.27862116194888,19.88327918965708,20260407_000509
1.28,-0.58,1022,64,4.21,49.27862116194888,19.923636563058665,20260407_000509
2.91,1.14,1022,63,4.21,49.27862116194888,19.96399393646025,20260407_000509
1.97,-0.09,1022,62,4.09,49.27862116194888,20.00435130986184,20260407_000509
1.6,-0.68,1021,61,4.09,49.27862116194888,20.04470868326342,20260407_000509
2.64,0.2,1021,59,4.09,49.27862116194888,20.085066056665003,20260407_000509
2.69,0.08,1021,59,4.09,49.27862116194888,20.125423430066583,20260407_000509
1.84,1.84,1023,68,4.12,49.294088370049565,19.76220706945233,20260407_000509
0.41,-1.08,1022,67,4.21,49.294088370049565,19.80256444285392,20260407_000509
1.03,-0.49,1022,66,4.21,49.294088370049565,19.842921816255497,20260407_000509
1.35,-0.23,1022,65,4.21,49.294088370049565,19.88327918965708,20260407_000509
1.28,-0.58,1022,64,4.21,49.294088370049565,19.923636563058665,20260407_000509
1.86,-0.07,1022,63,4.21,49.294088370049565,19.96399393646025,20260407_000509
3.08,1.2,1022,62,4.09,49.294088370049565,20.00435130986184,20260407_000509
2.86,0.79,1021,61,4.09,49.294088370049565,20.04470868326342,20260407_000509
3.01,0.64,1021,59,4.09,49.294088370049565,20.085066056665003,20260407_000509
3.12,0.59,1021,59,4.09,49.294088370049565,20.125423430066583,20260407_000509
1.75,0.36,1023,69,4.12,49.309555578150245,19.76220706945233,20260407_000509
1.08,-0.46,1023,68,4.21,49.309555578150245,19.80256444285392,20260407_000509
1.84,0.31,1022,67,4.21,49.309555578150245,19.842921816255497,20260407_000509
0.69,-1.12,1022,66,4.21,49.309555578150245,19.88327918965708,20260407_000509
0.62,-1.45,1022,65,4.21,49.309555578150245,19.923636563058665,20260407_000509
0.77,-1.44,1022,64,4.21,49.309555578150245,19.96399393646025,20260407_000509
2.2,0.08,1022,62,4.09,49.309555578150245,20.00435130986184,20260407_000509
2.89,0.76,1024,69,4.09,49.309555578150245,20.04470868326342,20260407_000509
2.29,-0.26,1021,60,4.09,49.309555578150245,20.085066056665003,20260407_000509
2.49,-0.18,1021,59,4.09,49.309555578150245,20.125423430066583,20260407_000509
-4.98,-7.62,1022,64,4.1,49.17035070524409,19.76220706945233,20260407_000837
-2.52,-4.88,1022,63,4.25,49.17035070524409,19.80256444285392,20260407_000837
-4.2,-6.87,1022,62,4.25,49.17035070524409,19.842921816255497,20260407_000837
-0.69,-2.89,1022,61,4.25,49.17035070524409,19.88327918965708,20260407_000837
1.86,-0.05,1021,60,4.25,49.17035070524409,19.923636563058665,20260407_000837
-0.7,-3.09,1021,59,4.25,49.17035070524409,19.96399393646025,20260407_000837
-2.31,-5.04,1021,57,4.08,49.17035070524409,20.00435130986184,20260407_000837
-4.51,-8.45,1021,38,4.08,49.17035070524409,20.04470868326342,20260407_000837
-4.77,-8.76,1021,38,4.08,49.17035070524409,20.085066056665003,20260407_000837
-4.39,-8.3,1021,50,4.08,49.17035070524409,20.125423430066583,20260407_000837
-4.77,-7.12,1022,65,4.1,49.18581791334477,19.76220706945233,20260407_000837
-4.26,-6.67,1022,64,4.25,49.18581791334477,19.80256444285392,20260407_000837
-3.72,-6.12,1022,63,4.25,49.18581791334477,19.842921816255497,20260407_000837
-1.22,-3.34,1022,62,4.25,49.18581791334477,19.88327918965708,20260407_000837
-0.56,-2.76,1022,61,4.25,49.18581791334477,19.923636563058665,20260407_000837
-2.35,-4.94,1021,59,4.25,49.18581791334477,19.96399393646025,20260407_000837
0.23,-2.06,1021,58,4.08,49.18581791334477,20.00435130986184,20260407_000837
-2.81,-6.43,1021,38,4.08,49.18581791334477,20.04470868326342,20260407_000837
-3.11,-6.79,1021,50,4.08,49.18581791334477,20.085066056665003,20260407_000837
-1.54,-4.92,1021,50,4.08,49.18581791334477,20.125423430066583,20260407_000837
-3.69,-5.68,1022,66,4.12,49.20128512144546,19.76220706945233,20260407_000837
-1.41,-3.23,1022,65,4.21,49.20128512144546,19.80256444285392,20260407_000837
-3.46,-5.66,1022,64,4.21,49.20128512144546,19.842921816255497,20260407_000837
-2.21,-4.34,1022,63,4.21,49.20128512144546,19.88327918965708,20260407_000837
2.14,0.42,1022,61,4.21,49.20128512144546,19.923636563058665,20260407_000837
-1.84,-4.29,1021,60,4.21,49.20128512144546,19.96399393646025,20260407_000837
-2.63,-5.37,1021,59,4.09,49.20128512144546,20.00435130986184,20260407_000837
-4.2,-7.36,1021,58,4.09,49.20128512144546,20.04470868326342,20260407_000837
-2.73,-6.33,1021,50,4.09,49.20128512144546,20.085066056665003,20260407_000837
-1.61,-5.0,1021,50,4.09,49.20128512144546,20.125423430066583,20260407_000837
-3.69,-5.68,1022,66,4.12,49.21675232954614,19.76220706945233,20260407_000837
-1.41,-3.23,1022,65,4.21,49.21675232954614,19.80256444285392,20260407_000837
-3.46,-5.66,1022,64,4.21,49.21675232954614,19.842921816255497,20260407_000837
-1.86,-3.94,1022,63,4.21,49.21675232954614,19.88327918965708,20260407_000837
-0.75,-2.9,1022,61,4.21,49.21675232954614,19.923636563058665,20260407_000837
-0.52,-2.77,1021,60,4.21,49.21675232954614,19.96399393646025,20260407_000837
-2.93,-5.71,1021,59,4.09,49.21675232954614,20.00435130986184,20260407_000837
-2.89,-5.84,1024,67,4.09,49.21675232954614,20.04470868326342,20260407_000837
0.52,-2.48,1021,50,4.09,49.21675232954614,20.085066056665003,20260407_000837
-3.15,-6.83,1021,50,4.09,49.21675232954614,20.125423430066583,20260407_000837
-2.31,-2.31,1022,67,4.12,49.23221953764683,19.76220706945233,20260407_000837
-1.32,-3.0,1022,66,4.21,49.23221953764683,19.80256444285392,20260407_000837
-3.42,-5.49,1022,65,4.21,49.23221953764683,19.842921816255497,20260407_000837
0.27,-1.43,1022,63,4.21,49.23221953764683,19.88327918965708,20260407_000837
-2.42,-4.78,1022,62,4.21,49.23221953764683,19.923636563058665,20260407_000837
-1.56,-3.95,1022,61,4.21,49.23221953764683,19.96399393646025,20260407_000837
-1.7,-4.29,1021,60,4.09,49.23221953764683,20.00435130986184,20260407_000837
